Temperature (K),Rate Coefficient (m^3/(mol*s)),Library,Reaction
2100,690476.5099708311,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
2200,719341.7592013677,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
2300,746749.5963754782,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
2400,772789.851335208,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
2500,797548.1473301109,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
2600,821105.4050370723,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
2700,843537.6411861861,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
2800,864915.9612278797,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
2900,885306.6768324043,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
3000,904771.5006896832,Nitrogen_Glarborg_Gimenez_et_al,H + H2O2 <=> H2 + HO2
300,88.6912422196475,2-BTP/full,H + H2O2 <=> H2 + HO2
400,1395.6852781336522,2-BTP/full,H + H2O2 <=> H2 + HO2
500,8069.0999592764865,2-BTP/full,H + H2O2 <=> H2 + HO2
600,27797.08801686913,2-BTP/full,H + H2O2 <=> H2 + HO2
700,70546.04607231502,2-BTP/full,H + H2O2 <=> H2 + HO2
800,147025.07809123586,2-BTP/full,H + H2O2 <=> H2 + HO2
900,267629.92850636377,2-BTP/full,H + H2O2 <=> H2 + HO2
1000,441896.16315882513,2-BTP/full,H + H2O2 <=> H2 + HO2
1100,678293.8616737567,2-BTP/full,H + H2O2 <=> H2 + HO2
1200,984211.8284250884,2-BTP/full,H + H2O2 <=> H2 + HO2
1300,1366033.026340385,2-BTP/full,H + H2O2 <=> H2 + HO2
1400,1829245.7618652682,2-BTP/full,H + H2O2 <=> H2 + HO2
1500,2378561.929853388,2-BTP/full,H + H2O2 <=> H2 + HO2
1600,3018028.7669119798,2-BTP/full,H + H2O2 <=> H2 + HO2
1700,3751128.6255134824,2-BTP/full,H + H2O2 <=> H2 + HO2
1800,4580865.3586770035,2-BTP/full,H + H2O2 <=> H2 + HO2
1900,5509837.8308970705,2-BTP/full,H + H2O2 <=> H2 + HO2
2000,6540301.873291038,2-BTP/full,H + H2O2 <=> H2 + HO2
2100,7674222.237853578,2-BTP/full,H + H2O2 <=> H2 + HO2
2200,8913316.07372496,2-BTP/full,H + H2O2 <=> H2 + HO2
2300,10259089.30155165,2-BTP/full,H + H2O2 <=> H2 + HO2
2400,11712867.07803986,2-BTP/full,H + H2O2 <=> H2 + HO2
2500,13275819.358981987,2-BTP/full,H + H2O2 <=> H2 + HO2
2600,14948982.401657857,2-BTP/full,H + H2O2 <=> H2 + HO2
2700,16733276.9022121,2-BTP/full,H + H2O2 <=> H2 + HO2
2800,18629523.34084728,2-BTP/full,H + H2O2 <=> H2 + HO2
2900,20638455.00561037,2-BTP/full,H + H2O2 <=> H2 + HO2
3000,22760729.081513762,2-BTP/full,H + H2O2 <=> H2 + HO2
300,55.47197650283499,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
400,1555.7353597224053,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
500,11498.811964097808,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
600,43631.26504726046,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
700,113102.62531818665,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
800,231062.16928557024,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
900,402753.3796094864,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
1000,628184.8684773525,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
1100,903724.5117901365,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
1200,1223657.5312937375,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
1300,1581371.4501852067,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
1400,1970141.085219414,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
1500,2383594.1122256853,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
1600,2815953.040365233,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
1700,3262133.096322655,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
1800,3717753.418590097,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
1900,4179099.9677457134,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
2000,4643064.539332378,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
2100,5107074.680144491,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
2200,5569023.055762466,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
2300,6027200.876948663,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
2400,6480237.5850688135,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
2500,6927047.574566769,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
2600,7366783.927023782,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
2700,7798798.707950553,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
2800,8222609.18216109,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
2900,8637869.24103347,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
3000,9044345.346312307,ERC-FoundationFuelv0.9,H + H2O2 <=> H2 + HO2
300,94.65700052468142,FFCM1(-),H + H2O2 <=> H2 + HO2
400,2654.696155526081,FFCM1(-),H + H2O2 <=> H2 + HO2
500,19621.49392789695,FFCM1(-),H + H2O2 <=> H2 + HO2
600,74452.09164775255,FFCM1(-),H + H2O2 <=> H2 + HO2
700,192997.54468888076,FFCM1(-),H + H2O2 <=> H2 + HO2
800,394282.9020736346,FFCM1(-),H + H2O2 <=> H2 + HO2
900,687255.6066767154,FFCM1(-),H + H2O2 <=> H2 + HO2
1000,1071930.3542757083,FFCM1(-),H + H2O2 <=> H2 + HO2
1100,1542109.3132009553,FFCM1(-),H + H2O2 <=> H2 + HO2
1200,2088040.825006156,FFCM1(-),H + H2O2 <=> H2 + HO2
1300,2698441.404593674,FFCM1(-),H + H2O2 <=> H2 + HO2
1400,3361835.2453653733,FFCM1(-),H + H2O2 <=> H2 + HO2
1500,4067348.657029434,FFCM1(-),H + H2O2 <=> H2 + HO2
1600,4805122.96881485,FFCM1(-),H + H2O2 <=> H2 + HO2
1700,5566481.558384948,FFCM1(-),H + H2O2 <=> H2 + HO2
1800,6343948.953687164,FFCM1(-),H + H2O2 <=> H2 + HO2
1900,7131187.543306397,FFCM1(-),H + H2O2 <=> H2 + HO2
2000,7922893.508459235,FFCM1(-),H + H2O2 <=> H2 + HO2
2100,8714677.232626066,FFCM1(-),H + H2O2 <=> H2 + HO2
2200,9502942.774796024,FFCM1(-),H + H2O2 <=> H2 + HO2
2300,10284774.268725267,FFCM1(-),H + H2O2 <=> H2 + HO2
2400,11057833.002553461,FFCM1(-),H + H2O2 <=> H2 + HO2
2500,11820266.506399848,FFCM1(-),H + H2O2 <=> H2 + HO2
2600,12570629.604479067,FFCM1(-),H + H2O2 <=> H2 + HO2
2700,13307816.66581923,FFCM1(-),H + H2O2 <=> H2 + HO2
2800,14031003.954407407,FFCM1(-),H + H2O2 <=> H2 + HO2
2900,14739600.872863218,FFCM1(-),H + H2O2 <=> H2 + HO2
3000,15433208.91310824,FFCM1(-),H + H2O2 <=> H2 + HO2
