Temperature (K),Rate Coefficient (m^3/(mol*s)),Library,Reaction
1600,2520199.8906828887,primaryH2O2,H2 + O <=> H + OH
1700,3328801.5607015355,primaryH2O2,H2 + O <=> H + OH
1800,4300355.340762168,primaryH2O2,H2 + O <=> H + OH
1900,5450120.1589415865,primaryH2O2,H2 + O <=> H + OH
2000,6793139.586598052,primaryH2O2,H2 + O <=> H + OH
2100,8344227.2339609405,primaryH2O2,H2 + O <=> H + OH
2200,10117959.598741299,primaryH2O2,H2 + O <=> H + OH
2300,12128674.146888709,primaryH2O2,H2 + O <=> H + OH
2400,14390471.021232806,primaryH2O2,H2 + O <=> H + OH
2500,16917217.220959164,primaryH2O2,H2 + O <=> H + OH
2600,19722552.418832622,primaryH2O2,H2 + O <=> H + OH
2700,22819895.81778823,primaryH2O2,H2 + O <=> H + OH
2800,26222453.618677232,primaryH2O2,H2 + O <=> H + OH
2900,29943226.794447433,primaryH2O2,H2 + O <=> H + OH
3000,33995018.95573412,primaryH2O2,H2 + O <=> H + OH
300,5.446979180023966,CurranPentane,H2 + O <=> H + OH
400,164.30378900213097,CurranPentane,H2 + O <=> H + OH
500,1451.9129391087508,CurranPentane,H2 + O <=> H + OH
600,6787.606818277452,CurranPentane,H2 + O <=> H + OH
700,21770.387481792666,CurranPentane,H2 + O <=> H + OH
800,54733.827910598455,CurranPentane,H2 + O <=> H + OH
900,116363.63965746909,CurranPentane,H2 + O <=> H + OH
1000,219168.0220132362,CurranPentane,H2 + O <=> H + OH
1100,376967.1649007418,CurranPentane,H2 + O <=> H + OH
1200,604466.4520161649,CurranPentane,H2 + O <=> H + OH
1300,916924.5445426932,CurranPentane,H2 + O <=> H + OH
1400,1329905.8838324149,CurranPentane,H2 + O <=> H + OH
1500,1859101.1715130706,CurranPentane,H2 + O <=> H + OH
1600,2520199.8906828887,CurranPentane,H2 + O <=> H + OH
1700,3328801.5607015355,CurranPentane,H2 + O <=> H + OH
1800,4300355.340762168,CurranPentane,H2 + O <=> H + OH
1900,5450120.1589415865,CurranPentane,H2 + O <=> H + OH
2000,6793139.586598052,CurranPentane,H2 + O <=> H + OH
2100,8344227.2339609405,CurranPentane,H2 + O <=> H + OH
2200,10117959.598741299,CurranPentane,H2 + O <=> H + OH
2300,12128674.146888709,CurranPentane,H2 + O <=> H + OH
2400,14390471.021232806,CurranPentane,H2 + O <=> H + OH
2500,16917217.220959164,CurranPentane,H2 + O <=> H + OH
2600,19722552.418832622,CurranPentane,H2 + O <=> H + OH
2700,22819895.81778823,CurranPentane,H2 + O <=> H + OH
2800,26222453.618677232,CurranPentane,H2 + O <=> H + OH
2900,29943226.794447433,CurranPentane,H2 + O <=> H + OH
3000,33995018.95573412,CurranPentane,H2 + O <=> H + OH
300,6.160772736071796,2-BTP/full,H2 + O <=> H + OH
400,184.9470214919985,2-BTP/full,H2 + O <=> H + OH
500,1632.1155975929091,2-BTP/full,H2 + O <=> H + OH
600,7630.821685783079,2-BTP/full,H2 + O <=> H + OH
700,24494.246504557028,2-BTP/full,H2 + O <=> H + OH
800,61651.6460217313,2-BTP/full,H2 + O <=> H + OH
900,131240.9647411189,2-BTP/full,H2 + O <=> H + OH
1000,247528.3692194666,2-BTP/full,H2 + O <=> H + OH
1100,426341.2247338286,2-BTP/full,H2 + O <=> H + OH
1200,684588.9072792742,2-BTP/full,H2 + O <=> H + OH
1300,1039886.2095552594,2-BTP/full,H2 + O <=> H + OH
1400,1510269.365659114,2-BTP/full,H2 + O <=> H + OH
1500,2113987.4549818262,2-BTP/full,H2 + O <=> H + OH
1600,2869352.057827295,2-BTP/full,H2 + O <=> H + OH
1700,3794630.663570529,2-BTP/full,H2 + O <=> H + OH
1800,4907972.401938842,2-BTP/full,H2 + O <=> H + OH
1900,6227357.4127908535,2-BTP/full,H2 + O <=> H + OH
2000,7770563.38638561,2-BTP/full,H2 + O <=> H + OH
2100,9555144.510057477,2-BTP/full,H2 + O <=> H + OH
2200,11598419.333195457,2-BTP/full,H2 + O <=> H + OH
2300,13917465.004465196,2-BTP/full,H2 + O <=> H + OH
2400,16529116.02553359,2-BTP/full,H2 + O <=> H + OH
2500,19449966.169667248,2-BTP/full,H2 + O <=> H + OH
2600,22696372.581307974,2-BTP/full,H2 + O <=> H + OH
2700,26284461.34107179,2-BTP/full,H2 + O <=> H + OH
2800,30230133.976659317,2-BTP/full,H2 + O <=> H + OH
2900,34549074.54359584,2-BTP/full,H2 + O <=> H + OH
3000,39256757.00482287,2-BTP/full,H2 + O <=> H + OH
300,5.16201726111157,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
400,144.80256857153236,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
500,1074.008739935721,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
600,4159.341831552503,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
700,11512.242251757198,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
800,27035.107127495095,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
900,58621.78051347735,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
1000,120245.71920965397,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
1100,232682.6110438721,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
1200,422563.61044363,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
1300,720252.9052778771,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
1400,1157293.1475698885,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
1500,1764025.1226499684,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
1600,2567724.5166700925,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
1700,3591366.7291171425,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
1800,4852981.531731545,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
1900,6365486.967656664,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
2000,8136872.032369113,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
2100,10170607.04440942,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
2200,12466182.606879886,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
2300,15019702.810837349,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
2400,17824480.869782973,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
2500,20871603.764348935,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
2600,24150446.430560518,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
2700,27649126.025327288,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
2800,31354893.599527687,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
2900,35254464.8665749,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
3000,39334294.3398457,ERC-FoundationFuelv0.9,H2 + O <=> H + OH
300,6.219954839075382,FFCM1(-),H2 + O <=> H + OH
400,174.46328118973818,FFCM1(-),H2 + O <=> H + OH
500,1292.1017728311454,FFCM1(-),H2 + O <=> H + OH
600,4961.310388564443,FFCM1(-),H2 + O <=> H + OH
700,13369.15695607029,FFCM1(-),H2 + O <=> H + OH
800,29759.800927092125,FFCM1(-),H2 + O <=> H + OH
900,59875.831448470366,FFCM1(-),H2 + O <=> H + OH
1000,113443.44411483935,FFCM1(-),H2 + O <=> H + OH
1100,204750.89334020176,FFCM1(-),H2 + O <=> H + OH
1200,352063.315699052,FFCM1(-),H2 + O <=> H + OH
1300,576201.5949274396,FFCM1(-),H2 + O <=> H + OH
1400,898801.5102339296,FFCM1(-),H2 + O <=> H + OH
1500,1340679.0301237823,FFCM1(-),H2 + O <=> H + OH
1600,1920544.9273256082,FFCM1(-),H2 + O <=> H + OH
1700,2654149.700850635,FFCM1(-),H2 + O <=> H + OH
1800,3553834.9366588313,FFCM1(-),H2 + O <=> H + OH
1900,4628415.9418249605,FFCM1(-),H2 + O <=> H + OH
2000,5883306.005603132,FFCM1(-),H2 + O <=> H + OH
2100,7320798.70605329,FFCM1(-),H2 + O <=> H + OH
2200,8940439.692262527,FFCM1(-),H2 + O <=> H + OH
2300,10739436.412164886,FFCM1(-),H2 + O <=> H + OH
2400,12713069.82887105,FFCM1(-),H2 + O <=> H + OH
2500,14855084.900781902,FFCM1(-),H2 + O <=> H + OH
2600,17158046.275146384,FFCM1(-),H2 + O <=> H + OH
2700,19613652.58505235,FFCM1(-),H2 + O <=> H + OH
2800,22213007.461227365,FFCM1(-),H2 + O <=> H + OH
2900,24946848.39998295,FFCM1(-),H2 + O <=> H + OH
3000,27805736.42872507,FFCM1(-),H2 + O <=> H + OH
