Temperature (K),Rate Coefficient (m^3/(mol*s)),Library,Reaction
700,362810.80599697714,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
800,604097.4476773354,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
900,917191.083868873,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
1000,1302697.7007175828,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
1100,1759920.1930175493,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
1200,2287401.205033314,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
1300,2883268.2909309603,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
1400,3545449.436593621,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
1500,4271805.618672161,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
1600,5060210.804861646,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
1700,5908598.802438762,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
1800,6814989.260438662,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
1900,7777500.623918128,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
2000,8794354.992204135,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
2100,9863878.032932414,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
2200,10984495.960724646,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
2300,12154730.859949706,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
2400,13373195.16317408,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
2500,14638585.795548005,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
2600,15949678.300682398,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
2700,17305321.13766506,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
2800,18704430.25756853,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
2900,20145984.015578136,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
3000,21629018.44165544,NIST_Fluorine/CH2F2/full,H2 + OH <=> H + H2O
300,3822.680936193117,primaryH2O2,H2 + OH <=> H + H2O
400,25153.153306582615,primaryH2O2,H2 + OH <=> H + H2O
500,84117.46227479851,primaryH2O2,H2 + OH <=> H + H2O
600,197955.9951583042,primaryH2O2,H2 + OH <=> H + H2O
700,378309.34303211287,primaryH2O2,H2 + OH <=> H + H2O
800,631879.5386690128,primaryH2O2,H2 + OH <=> H + H2O
900,961846.3717555869,primaryH2O2,H2 + OH <=> H + H2O
1000,1369092.4150197299,primaryH2O2,H2 + OH <=> H + H2O
1100,1853076.6083619702,primaryH2O2,H2 + OH <=> H + H2O
1200,2412413.554150516,primaryH2O2,H2 + OH <=> H + H2O
1300,3045245.270412693,primaryH2O2,H2 + OH <=> H + H2O
1400,3749475.5336063816,primaryH2O2,H2 + OH <=> H + H2O
1500,4522915.573924335,primaryH2O2,H2 + OH <=> H + H2O
1600,5363373.185645175,primaryH2O2,H2 + OH <=> H + H2O
1700,6268705.873336045,primaryH2O2,H2 + OH <=> H + H2O
1800,7236851.196708508,primaryH2O2,H2 + OH <=> H + H2O
1900,8265842.709156936,primaryH2O2,H2 + OH <=> H + H2O
2000,9353816.854804114,primaryH2O2,H2 + OH <=> H + H2O
2100,10499014.26164899,primaryH2O2,H2 + OH <=> H + H2O
2200,11699777.637993062,primaryH2O2,H2 + OH <=> H + H2O
2300,12954547.68977751,primaryH2O2,H2 + OH <=> H + H2O
2400,14261857.967159137,primaryH2O2,H2 + OH <=> H + H2O
2500,15620329.218582815,primaryH2O2,H2 + OH <=> H + H2O
2600,17028663.61592956,primaryH2O2,H2 + OH <=> H + H2O
2700,18485639.074422497,primaryH2O2,H2 + OH <=> H + H2O
2800,19990103.799830146,primaryH2O2,H2 + OH <=> H + H2O
2900,21540971.13631181,primaryH2O2,H2 + OH <=> H + H2O
3000,23137214.75008209,primaryH2O2,H2 + OH <=> H + H2O
300,354.2994555030317,CurranPentane,H2 + OH <=> H + H2O
400,6643.491616502976,CurranPentane,H2 + OH <=> H + H2O
500,38566.65165082958,CurranPentane,H2 + OH <=> H + H2O
600,124572.53369436135,CurranPentane,H2 + OH <=> H + H2O
700,287835.2540605475,CurranPentane,H2 + OH <=> H + H2O
800,539430.1927059983,CurranPentane,H2 + OH <=> H + H2O
900,879237.5659484505,CurranPentane,H2 + OH <=> H + H2O
1000,1299699.7123591034,CurranPentane,H2 + OH <=> H + H2O
1100,1789445.9134791894,CurranPentane,H2 + OH <=> H + H2O
1200,2335867.4996268577,CurranPentane,H2 + OH <=> H + H2O
1300,2926666.7518421477,CurranPentane,H2 + OH <=> H + H2O
1400,3550659.675025471,CurranPentane,H2 + OH <=> H + H2O
1500,4198105.857782533,CurranPentane,H2 + OH <=> H + H2O
1600,4860765.622874932,CurranPentane,H2 + OH <=> H + H2O
1700,5531814.245052296,CurranPentane,H2 + OH <=> H + H2O
1800,6205691.370713028,CurranPentane,H2 + OH <=> H + H2O
1900,6877929.953780583,CurranPentane,H2 + OH <=> H + H2O
2000,7544988.230695178,CurranPentane,H2 + OH <=> H + H2O
2100,8204096.034130499,CurranPentane,H2 + OH <=> H + H2O
2200,8853119.84615528,CurranPentane,H2 + OH <=> H + H2O
2300,9490447.2819106,CurranPentane,H2 + OH <=> H + H2O
2400,10114889.840411333,CurranPentane,H2 + OH <=> H + H2O
2500,10725601.952499755,CurranPentane,H2 + OH <=> H + H2O
2600,11322014.119876642,CurranPentane,H2 + OH <=> H + H2O
2700,11903777.996866576,CurranPentane,H2 + OH <=> H + H2O
2800,12470721.461331563,CurranPentane,H2 + OH <=> H + H2O
2900,13022811.96657379,CurranPentane,H2 + OH <=> H + H2O
3000,13560126.716623077,CurranPentane,H2 + OH <=> H + H2O
300,3757.526534886912,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
400,24714.072834676266,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
500,82628.2916734818,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
600,194418.8735138898,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
700,371505.11355568876,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
800,620458.8667840105,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
900,944395.8294079243,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
1000,1344178.1483628415,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
1100,1819271.7375641,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
1200,2368314.654516559,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
1300,2989481.777147086,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
1400,3680714.6448984193,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
1500,4439864.328713191,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
1600,5264778.794532919,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
1700,6153354.993103859,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
1800,7103568.589379507,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
1900,8113489.566379775,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
2000,9181288.965354765,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
2100,10305240.133469496,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
2200,11483716.643302454,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
2300,12715188.274061073,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
2400,13998215.944938485,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
2500,15331446.167366186,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
2600,16713605.372424213,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
2700,18143494.3325175,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
2800,19619982.807083923,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
2900,21142004.484083198,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
3000,22708552.25161484,Nitrogen_Glarborg_Gimenez_et_al,H2 + OH <=> H + H2O
300,3025.5326173692247,2-BTP/full,H2 + OH <=> H + H2O
400,19684.954653911776,2-BTP/full,H2 + OH <=> H + H2O
500,65354.21320844822,2-BTP/full,H2 + OH <=> H + H2O
600,153005.59320411462,2-BTP/full,H2 + OH <=> H + H2O
700,291256.45259201777,2-BTP/full,H2 + OH <=> H + H2O
800,484956.00660763873,2-BTP/full,H2 + OH <=> H + H2O
900,736300.6201058453,2-BTP/full,H2 + OH <=> H + H2O
1000,1045776.7652982819,2-BTP/full,H2 + OH <=> H + H2O
1100,1412824.8216168662,2-BTP/full,H2 + OH <=> H + H2O
1200,1836274.856262855,2-BTP/full,H2 + OH <=> H + H2O
1300,2314623.7113306876,2-BTP/full,H2 + OH <=> H + H2O
1400,2846208.0199321015,2-BTP/full,H2 + OH <=> H + H2O
1500,3429310.6216562632,2-BTP/full,H2 + OH <=> H + H2O
1600,4062224.785013933,2-BTP/full,H2 + OH <=> H + H2O
1700,4743291.816402229,2-BTP/full,H2 + OH <=> H + H2O
1800,5470921.93407437,2-BTP/full,H2 + OH <=> H + H2O
1900,6243604.667534276,2-BTP/full,H2 + OH <=> H + H2O
2000,7059912.757630542,2-BTP/full,H2 + OH <=> H + H2O
2100,7918502.08754852,2-BTP/full,H2 + OH <=> H + H2O
2200,8818109.257359508,2-BTP/full,H2 + OH <=> H + H2O
2300,9757547.829237403,2-BTP/full,H2 + OH <=> H + H2O
2400,10735703.894881414,2-BTP/full,H2 + OH <=> H + H2O
2500,11751531.37475937,2-BTP/full,H2 + OH <=> H + H2O
2600,12804047.302492257,2-BTP/full,H2 + OH <=> H + H2O
2700,13892327.246625563,2-BTP/full,H2 + OH <=> H + H2O
2800,15015500.956770292,2-BTP/full,H2 + OH <=> H + H2O
2900,16172748.279172448,2-BTP/full,H2 + OH <=> H + H2O
3000,17363295.36010673,2-BTP/full,H2 + OH <=> H + H2O
300,3564.6331752907026,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
400,23260.672742007333,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
500,77361.76175711953,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
600,181330.14406306914,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
700,345463.76138883864,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
800,575575.720725313,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
900,874314.666991107,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
1000,1242285.9283445743,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
1100,1678842.5502059925,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
1200,2182605.4448125553,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
1300,2751794.572062228,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
1400,3384435.9986999645,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
1500,4078489.426791393,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
1600,4831925.283318438,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
1700,5642769.962647742,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
1800,6509131.022077163,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
1900,7429209.815436539,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
2000,8401306.321626596,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
2100,9423819.198356178,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
2200,10495242.994198436,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
2300,11614163.751413718,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
2400,12779253.782250116,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
2500,13989266.111518497,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
2600,15243028.890791079,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
2700,16539439.968241394,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
2800,17877461.719720665,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
2900,19256116.196223736,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
3000,20674480.610766973,ERC-FoundationFuelv0.9,H2 + OH <=> H + H2O
300,3352.4293260198983,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
400,21923.158433892284,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
500,72970.84473064996,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
600,171070.60742310385,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
700,325883.84753733187,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
800,542814.1941323126,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
900,824269.4623007926,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
1000,1170730.2256386182,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
1100,1581501.903929153,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
1200,2055207.9791592334,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
1300,2590103.0506929867,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
1400,3184267.8239227366,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
1500,3835728.630314397,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
1600,4542529.212533664,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
1700,5302772.461904631,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
1800,6114643.310117445,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
1900,6976419.864093584,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
2000,7886477.2775194645,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
2100,8843287.213102702,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
2200,9845414.71000862,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
2300,10891513.608504144,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
2400,11980321.259707447,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
2500,13110652.975706048,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
2600,14281396.499604745,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
2700,15491506.661771284,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
2800,16740000.315663174,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
2900,18025951.600009013,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
3000,19348487.544653755,Nitrogen_Glarborg_Zhang_et_al,H2 + OH <=> H + H2O
300,3890.383843769448,FFCM1(-),H2 + OH <=> H + H2O
400,25386.32756323765,FFCM1(-),H2 + OH <=> H + H2O
500,84431.39399354732,FFCM1(-),H2 + OH <=> H + H2O
600,197900.8296677877,FFCM1(-),H2 + OH <=> H + H2O
700,377033.64408747526,FFCM1(-),H2 + OH <=> H + H2O
800,628174.1695884601,FFCM1(-),H2 + OH <=> H + H2O
900,954213.0950277866,FFCM1(-),H2 + OH <=> H + H2O
1000,1355811.065911354,FFCM1(-),H2 + OH <=> H + H2O
1100,1832262.0063203133,FFCM1(-),H2 + OH <=> H + H2O
1200,2382060.8018466085,FFCM1(-),H2 + OH <=> H + H2O
1300,3003264.745088475,FFCM1(-),H2 + OH <=> H + H2O
1400,3693719.5167467077,FFCM1(-),H2 + OH <=> H + H2O
1500,4451198.368168634,FFCM1(-),H2 + OH <=> H + H2O
1600,5273486.255704318,FFCM1(-),H2 + OH <=> H + H2O
1700,6158429.217615648,FFCM1(-),H2 + OH <=> H + H2O
1800,7103961.872094277,FFCM1(-),H2 + OH <=> H + H2O
1900,8108121.205372179,FFCM1(-),H2 + OH <=> H + H2O
2000,9169051.841512071,FFCM1(-),H2 + OH <=> H + H2O
2100,10285006.101055361,FFCM1(-),H2 + OH <=> H + H2O
2200,11454340.958304714,FFCM1(-),H2 + OH <=> H + H2O
2300,12675513.242315006,FFCM1(-),H2 + OH <=> H + H2O
2400,13947073.935831001,FFCM1(-),H2 + OH <=> H + H2O
2500,15267662.11000229,FFCM1(-),H2 + OH <=> H + H2O
2600,16635998.828128625,FFCM1(-),H2 + OH <=> H + H2O
2700,18050881.219269793,FFCM1(-),H2 + OH <=> H + H2O
2800,19511176.836964745,FFCM1(-),H2 + OH <=> H + H2O
2900,21015818.36325323,FFCM1(-),H2 + OH <=> H + H2O
3000,22563798.683126263,FFCM1(-),H2 + OH <=> H + H2O
