equation,id,f_value,operating_condition,if,low_impact,inactive
CO + O (+M) <=> CO2 (+M),33,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.017079679374788246,True,True
CO + OH <=> CO2 + H,34,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.001675364240027554,True,False
CO + OH <=> CO2 + H,34,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.001022320587557431,True,False
CO + OH <=> CO2 + H,34,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0034452532146908798,True,False
CO + O2 <=> CO2 + O,37,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0042863398889269304,True,True
CH + H <=> C + H2,38,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0033461805066427974,True,True
CH + O <=> CO + H,39,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.015451475249313264,True,True
CH + O2 <=> CO2 + H,40,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.010169238815854261,True,True
CH + O2 <=> CO + OH,41,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0007551239005426443,True,True
CH + OH <=> H + HCO,42,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.002566517432905974,True,True
CH + CO2 <=> CO + HCO,43,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.011324288612406488,True,True
HCO + M <=> CO + H + M,44,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.23637961360161966,False,False
HCO + HO2 <=> CO2 + H + OH,45,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.003779319213134311,True,True
HCO + OH <=> CO + H2O,46,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.012210291127363729,True,True
HCO + O <=> CO2 + H,47,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0009366105386179073,True,True
HCO + O <=> CO + OH,48,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.009119840860520895,True,True
H + HCO <=> CO + H2,49,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.05027440510776648,True,True
HCO + O2 <=> CO2 + OH,50,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.006562356812537724,True,True
HCO + O2 <=> CO + HO2,51,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.04699838389477696,True,False
CH2 + O <=> CO + H2,52,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.006402407763896255,True,True
CH2 + O <=> CO + 2 H,53,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.02349106832388627,True,True
CH2 + H <=> CH + H2,54,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.013831775405379186,True,True
CH2 + O2 <=> CO + H2O,55,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.001921078779313664,True,True
CH2 + O2 <=> CO + H + OH,56,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.060286952093844326,True,True
CH2 + O2 <=> CO2 + 2 H,57,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.04572866700007668,True,True
CH2 + O2 <=> CO2 + H2,58,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0678848023204606,True,True
CH2(S) + M <=> CH2 + M,59,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.024429312114164586,True,True
CH2(S) + H <=> CH2 + H,60,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.005489148117985747,True,True
CH2(S) + O2 <=> CO + H + OH,61,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.05183521366648872,True,True
2 HCO <=> CH2O + CO,62,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.00960370385338914,True,True
CH2 + OH <=> CH2O + H,63,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0019570752910788277,True,True
H + HCO (+M) <=> CH2O (+M),64,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0032987085630053806,True,True
CO + H2 (+M) <=> CH2O (+M),65,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.03869261166875129,True,True
CH2O + HO2 <=> H2O2 + HCO,66,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.03419747277400827,True,True
CH2O + OH <=> H2O + HCO,67,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.028477625795899325,True,True
CH2O + O <=> HCO + OH,68,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.007006292803628176,True,True
CH + CH2O <=> CH2 + HCO,69,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.02535156570499836,True,True
CH2O + H <=> H2 + HCO,70,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.019209634039704118,True,True
CH2 + CO2 <=> CH2O + CO,71,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.019635151319800224,True,True
CH2 + O2 <=> CH2O + O,72,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01083245700264363,True,True
CH2O + O2 <=> HCO + HO2,73,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0070159086725797935,True,True
CH2O + CH3 <=> CH4 + HCO,74,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.011360959591618957,True,True
CH3 + H <=> CH2 + H2,75,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.02098426279831605,True,True
CH3 + M <=> CH2 + H + M,76,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.010303061616597673,True,True
CH3 + OH <=> CH2(S) + H2O,77,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.030871627734241815,True,True
CH3 + O <=> CH2O + H,78,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.015001290412806605,True,True
CH2 + HCO <=> CH3 + CO,79,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.016375586500136086,True,True
CH3 + O2 <=> CH2O + OH,80,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.023694730493967992,True,True
CH2(S) + H2 <=> CH3 + H,81,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01212059901314245,True,True
CH3O + CO <=> CH3 + CO2,82,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.020962767048924056,True,True
CH3O + HO2 <=> CH2O + H2O2,83,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.008243701396508013,True,True
CH3O + H <=> CH2(S) + H2O,84,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0030633967882440533,True,True
CH2O + H (+M) <=> CH3O (+M),85,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.03277873806512091,True,True
CH3 + OH <=> CH3O + H,86,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.03130250635302927,True,True
CH3 + O2 <=> CH3O + O,87,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0051942744135310024,True,True
CH3O + OH <=> CH2O + H2O,88,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.017759225459943653,True,True
CH3O + O <=> CH2O + OH,89,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.006938720311857943,True,True
CH3 + HO2 <=> CH3O + OH,90,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.027898171934077426,True,True
CH3O + H <=> CH2O + H2,91,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.012949170309539048,True,True
CH3O + O2 <=> CH2O + HO2,92,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.011348187352795523,True,True
CH2OH + HCO <=> 2 CH2O,93,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.012071880340266985,True,True
CH2 + CH2OH <=> CH2O + CH3,94,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.001063142416442062,True,True
CH2OH + H <=> CH2(S) + H2O,95,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.009170250527312754,True,True
CH3O + H <=> CH2OH + H,96,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.011386902457253866,True,True
CH2O + H (+M) <=> CH2OH (+M),97,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.020177360051711512,True,True
CH2OH + OH <=> CH2O + H2O,98,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01259980022147556,True,True
CH2OH + O <=> CH2O + OH,99,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.018512251083626755,True,True
CH2OH + H <=> CH2O + H2,100,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.019188051328198574,True,True
CH2OH + H <=> CH3 + OH,101,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.023982240077400904,True,True
CH2OH + O2 <=> CH2O + HO2,102,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01675434676735394,True,True
CH3 + CH3O <=> CH2O + CH4,103,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.03276641547802038,True,True
CH2OH + CH3 <=> CH2O + CH4,104,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.03461070413443781,True,True
CH4 + HO2 <=> CH3 + H2O2,105,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.007914197182141588,True,True
CH3 + H (+M) <=> CH4 (+M),106,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.013158960162156296,True,True
CH3 + HCO <=> CH4 + CO,107,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.012918042293600275,True,True
CH4 + OH <=> CH3 + H2O,108,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.011857662391635578,True,True
CH4 + O <=> CH3 + OH,109,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.002666973775292414,True,True
CH2(S) + CH4 <=> 2 CH3,110,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.02548198318418078,True,True
CH2 + CH4 <=> 2 CH3,111,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.009810621848806607,True,True
CH4 + H <=> CH3 + H2,112,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.018775349957812864,True,True
C + CH4 <=> CH + CH3,113,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0016648363896793986,True,True
CH4 + O2 <=> CH3 + HO2,114,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.006805334501979889,True,True
CH3OH + O2 <=> CH2OH + HO2,115,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.017165475320857094,True,True
CH3OH + O <=> CH3O + OH,116,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0035546806841822414,True,True
CH3OH + O <=> CH2OH + OH,117,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.02186130622851124,True,True
CH3OH + M <=> CH2(S) + H2O + M,118,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.02728374668213175,True,True
CH2OH + CH3O <=> CH2O + CH3OH,119,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.007749797418463344,True,True
CH2O + CH2OH <=> CH3OH + HCO,120,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0023709233531243106,True,True
CH2OH + HCO <=> CH3OH + CO,121,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.004933943597225963,True,True
2 CH2OH <=> CH2O + CH3OH,122,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.007119142539721036,True,True
CH2O + CH3O <=> CH3OH + HCO,123,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01961686146507961,True,True
2 CH3O <=> CH2O + CH3OH,124,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.025269705134133517,True,True
CH3O + HCO <=> CH3OH + CO,125,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.018747986814274673,True,True
CH3 + CH3OH <=> CH3O + CH4,126,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.020269111566708062,True,True
CH3 + CH3OH <=> CH2OH + CH4,127,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.02421003426422269,True,True
CH2 + CH3OH <=> CH3 + CH3O,128,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.009750059900622846,True,True
CH2 + CH3OH <=> CH2OH + CH3,129,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.007006492686294437,True,True
CH2(S) + CH3OH <=> CH2OH + CH3,130,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.017991966984003065,True,True
CH3OH + OH <=> CH3O + H2O,131,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.018271177292970397,True,True
CH3OH + OH <=> CH2OH + H2O,132,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0182688054786921,True,True
CH3OH + H <=> CH3O + H2,133,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.008583476737339816,True,True
CH3OH + H <=> CH2OH + H2,134,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01776524580654721,True,True
CH3O + H (+M) <=> CH3OH (+M),135,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.011282641833980034,True,True
CH2OH + H (+M) <=> CH3OH (+M),136,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.025894693969491803,True,True
CH3 + OH (+M) <=> CH3OH (+M),137,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.001369240590946815,True,True
CH3O2 + CH3OH <=> CH3O + CH3O2H,138,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.012300360994181081,True,True
CH3 + O2 (+M) <=> CH3O2 (+M),139,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.006104357143069354,True,True
CH3 + CH3O2 <=> 2 CH3O,140,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0015756802655661005,True,True
2 CH3O2 <=> CH2O + CH3OH + O2,141,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.010953032889220378,True,True
2 CH3O2 <=> 2 CH3O + O2,142,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.004909107479125087,True,True
CH3O2 + H <=> CH3O + OH,143,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.013896239267138904,True,True
CH3O2 + O <=> CH3O + O2,144,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01066817760258554,True,True
CH3O2 + OH <=> CH3OH + O2,145,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",9.758384936780537e-05,True,True
CH2O + CH3O2 <=> CH3O + HCO + OH,146,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.005783719226953172,True,True
C2H + H <=> C2 + H2,147,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0008480582970385192,True,True
C2H + OH <=> CH2 + CO,148,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0006319954874600448,True,True
C2H + O <=> CH + CO,149,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01211851415930584,True,True
C + CH2 <=> C2H + H,150,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.012121655774255374,True,True
C2H + O2 <=> CH + CO2,151,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0462939262696516,True,True
C2H + O2 <=> CO + HCO,152,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0008492247603560703,True,True
C2H + OH <=> H + HCCO,153,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.030881624998765685,True,True
CH2 + HCCO <=> C2H + CH2O,154,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0006212414240084539,True,True
H + HCCO <=> CH2 + CO,155,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.00886816259116833,True,True
C2H + O2 <=> HCCO + O,156,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.011070686926006096,True,True
CH + CO <=> HCCO,157,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0006935692006890341,True,True
HCCO + O <=> 2 CO + H,158,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.01443327225640947,True,True
HCCO + OH <=> CH2O + CO,159,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0029072214497055243,True,True
HCCO + OH <=> 2 HCO,160,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.004522927630539854,True,True
HCCO + O2 <=> CO + CO2 + H,161,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0771158390947408,True,True
HCCO + O2 <=> CO + HCO + O,162,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.007263031905024356,True,True
HCCO + O2 <=> 2 CO + OH,163,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.040996892439348565,True,True
C2H + H (+M) <=> C2H2 (+M),164,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.018783167455454147,True,True
C2H2 + O2 <=> 2 HCO,165,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.02128892756659971,True,False
C2H2 + O2 <=> 2 HCO,165,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0014926956968241332,True,False
C2H2 + OH <=> CH3 + CO,167,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0012358120923116414,True,True
C2H2 + OH <=> CH2CO + H,168,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.009819544282332528,True,True
C2H2 + OH <=> C2H + H2O,169,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0027312203533606887,True,True
C2H2 + O <=> CH2 + CO,170,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0032581713053038384,True,True
C2H2 + O <=> H + HCCO,171,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.06203108542399618,True,True
C2H2 + HO2 <=> CH2CO + OH,172,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.02595867255843352,True,True
C2H2 + O <=> C2H + OH,173,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.019751794356699083,True,True
C2H + CH2OH <=> C2H2 + CH2O,174,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.00906520856960582,True,True
C2H + CH3OH <=> C2H2 + CH3O,175,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.007241202844849225,True,True
C2H + CH3OH <=> C2H2 + CH2OH,176,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.009946002610458277,True,True
C2H2 + HO2 => CH2 + CO + OH,177,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0035795507257015036,True,True
2 HCCO <=> C2H2 + 2 CO,178,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.008618083569441489,True,True
2 CH2 <=> C2H2 + 2 H,179,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0033813066275274286,True,True
2 CH2 <=> C2H2 + H2,180,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.010141900409144157,True,True
CH + HCCO <=> C2H2 + CO,181,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.014980094056070982,True,True
CH + CH2 <=> C2H2 + H,182,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.00768466278322982,True,True
C + CH3 <=> C2H2 + H,183,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.013913308390907094,True,True
C2H2 + CH <=> C2H + CH2,184,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.0036679070648357676,True,True
C2H2 + CH <=> H2CCCH,185,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.006423882832321088,True,True
C2H2 + CH <=> C3H2 + H,186,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.013489678435640685,True,True
C2H2 + H <=> C2H + H2,187,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.005981345818576377,True,True
C2H + CH4 <=> C2H2 + CH3,188,0.3,"[1683, 0.98, 'C2H4:0.01, O2:0.03, AR:0.96']",0.013881689008924404,True,True
